;employer_id;industry_id
518;1307995;42.590
519;1307995;42.589
520;59285;15.547
521;59285;15.546
522;59285;15.545
523;565747;388.499
524;565747;388.510
525;565747;388.508
526;76457;33.428
527;4940016;44.391
528;12240;48.681
529;1947314;44.391
530;802852;43.650
531;802852;43.647
532;2425896;7.540
533;2425896;7.539
534;2381;7.540
535;2381;7.539
536;735125;27.573
537;735125;27.572
538;3070;8.486
539;3070;8.485
540;3070;7.540
541;3070;7.539
542;9849;7.540
543;976061;7.540
544;976061;7.539
545;70866;7.541
546;3710;47.612
547;3710;15.546
548;72986;7.541
549;5325;7.541
550;38351;8.484
551;38351;44.397
552;38351;33.429
553;38351;33.428
554;28318;44.391
555;4233;41.517
556;4233;41.512
557;4233;7.540
558;4233;7.539
559;2666179;7.541
560;2666179;7.540
561;103944;8.484
562;103944;7.540
563;4465111;43.649
564;809317;13.660
565;809317;13.664
566;809317;13.654
567;612186;41.517
568;612186;27.568
569;612186;27.567
570;708648;7.541
571;5672;7.540
572;533;41.519
573;2000462;36.403
574;2000462;39.441
575;2000462;48.680
576;3757;43.647
577;924137;41.526
578;924137;41.525
579;924137;19.622
580;924137;7.541
581;924137;42.593
582;39305;47.612
583;39305;47.616
584;39305;47.615
585;195479;46.474
586;195479;46.473
587;1645903;33.440
588;1645903;7.540
589;151518;8.486
590;151518;8.485
591;151518;8.484
592;151518;7.539
593;27937;7.540
594;1988;43.646
595;3296562;7.541
596;4054244;13.663
597;17222;7.538
598;17222;9.401
599;17222;9.400
600;17222;9.399
601;172;7.540
602;172;7.539
603;389;39.441
604;389;34.424
605;389;48.680
606;389;48.684
607;389;48.683
608;14482;7.539
609;14482;9.402
610;175910;44.393
611;175910;7.541
612;175910;11.459
613;753017;41.517
614;25;7.540
615;25;7.539
616;131539;7.540
617;131539;7.539
618;32995;41.521
619;32995;7.540
620;5755;43.647
621;4308108;7.540
622;4308108;7.539
623;3856;41.517
624;3856;27.573
625;3856;27.572
626;77364;41.518
627;77364;41.525
628;798;43.647
629;3178909;43.650
630;3178909;7.541
631;3178909;7.539
632;802210;7.540
633;6301;7.540
634;6591;43.647
635;46387;43.648
636;49700;11.459
637;2897912;48.681
638;1469884;8.486
639;1469884;8.483
640;1469884;5.468
641;152274;9.399
642;544224;48.681
643;544224;41.513
644;544224;42.593
645;544224;50.528
646;544224;50.527
647;1753419;7.540
648;575393;8.486
649;575393;8.483
650;575393;8.481
651;575393;7.540
652;575393;9.401
653;87021;41.525
654;87021;7.540
655;654795;7.541
656;654795;11.459
657;589;43.647
658;81391;42.596
659;81391;42.595
660;81391;41.515
661;81391;41.520
662;1758157;7.540
663;1758157;7.539
664;4872;7.539
665;1756231;7.541
666;1435226;36.403
667;1435226;5.462
668;1435226;5.465
669;638130;7.540
670;89117;9.402
671;9281;7.540
672;49556;7.540
673;49556;7.539
674;2568447;7.540
675;114448;7.541
676;582248;7.540
677;2746;41.517
678;2746;41.512
679;1376;46.469
680;1376;33.439
681;1376;388.510
682;1376;388.508
683;1376;13.655
684;4465166;29.533
685;4465166;34.417
686;4465166;34.416
687;86298;7.539
688;3776;9.399
689;234264;7.540
690;8178;7.541
691;1030953;7.539
692;6093;48.681
693;2514425;8.485
694;2514425;8.482
695;2514425;8.479
696;2514425;7.540
697;2514425;7.539
698;60977;388.501
699;60977;388.499
700;865513;27.550
701;865513;27.580
702;865513;27.551
703;865513;41.517
704;865513;50.528
705;3537780;11.452
706;3537780;11.457
707;3537780;11.455
708;3537780;11.459
709;2312293;41.511
710;8550;7.539
711;90597;41.518
712;90597;42.598
713;90597;42.599
714;3783;43.647
715;584805;7.541
716;584805;7.540
717;584805;9.401
718;584805;9.400
719;751740;7.540
720;71052;51.668
721;71052;51.674
722;132656;48.676
723;132656;48.684
724;132656;48.683
725;6528;11.459
726;28516;13.654
727;156424;7.540
728;156424;7.539
729;2716;7.540
730;3945;7.540
731;23494;7.539
732;754682;7.539
733;1191643;43.650
734;1191643;43.647
735;1191643;7.541
736;1191643;7.540
737;2766831;8.483
738;2766831;8.482
739;2766831;8.481
740;2766831;13.663
741;2766831;7.540
