;id;name;area
271;4082616;ТОЛЬЯТТИАЗОТ (ТОАЗ);212
272;404;ЗЕНИТ, банк;1
273;5195804;Производство Игрушек;43
274;117243;Консультант НПО;32
275;18384;Глобус, Сеть гипермаркетов;113
276;2523;М.Видео-Эльдорадо;1
277;5819296;Рокет Телеком Центр;1
278;4526;Корпорация ЭЛАР;1
279;2223982;РАБЛЗ;1
280;533775;Workle Pro;1
281;10627;ГК TFN;1
282;5564151;ГК Альфа;1641
283;5600787;Own Script;1
284;34746;NPM;4
285;4804475;Гутен Морген;32
286;1307995;Coral Club;1
287;1363143;Институт Авиационного Приборостроения Навигатор;2
288;59285;Группа Компаний Армтек;1002
289;565747;РЭП Холдинг;2
290;76457;Новосибирский авиаремонтный завод;4
291;4940016;Наймиум;1
292;12240;БУДЬ ЗДОРОВ, Клиника;113
293;1947314;ANCOR;1
294;802852;Займ-Экспресс;1
295;2425896;Эвотор;1
296;2381;Softline;1
297;735125;Сибирские колбасы;68
298;3070;Polymedia;1
299;9849;Social Discovery Ventures;1
300;976061;Altenar;23
301;70866;Hendz Holding;1
302;3710;Кордиант;1
303;72986;Банки.ру;1
304;2530296;ППМТС ПЕРМСНАБСБЫТ;72
305;5325;Туту.ру;1
306;2543655;Ижнефтемаш;96
307;5488399;Самокат (ООО Умное пространство);2
308;38351;Diakont;2
309;28318;Human Links;1
310;4233;Х5 Group;1
311;2666179;Azur Games;1
312;103944;К-ТЕХНОЛОГИИ;1
313;4609253;Karuna;2
314;3156389;ЦРПТ (Центр развития перспективных технологий);1
315;4465111;РСХБ Факторинг;1
316;809317;R4S Group;1
317;612186;Группа компаний «Новосибхолод»;4
318;708648;Компания КомЛайн;88
319;5672;Инфотекс Интернет Траст;113
320;533;Связной;1
321;2000462;ГБУ г. Москвы НИИ организации здравоохранения и медицинского менеджмента ДЗМ г. Москвы;1
322;3757;Банк СОЮЗ (АО);1
323;924137;Ortox, Медиакомпания;52
324;2639799;Спутниковое ТВ МТС;1
325;39305;Газпром нефть;2
326;195479;ТНС энерго Тула;92
327;1645903;Концерн ВКО Алмаз - Антей;1
328;151518;ГК Philax;113
329;27937;Align Technology;1
330;1988;Страховая группа МАКС;1
331;3296562;Софт Компани;1
332;4054244;ГОРКА;1
333;17222;МГТС;1
334;172;1C-Рарус;1
335;389;БИОКАД, биотехнологическая компания;2
