;id;name
153;42.589;Бытовая химия, парфюмерия, косметика  (производство)
154;27.573;Мясная продукция (производство)
155;27.572;Мясная продукция (продвижение, оптовая торговля)
156;44.397;Контроль качества, экспертиза, испытания и сертификация
157;33.429;Продукция авиационной, аэрокосмической, вертолетной промышленности (монтаж, сервис, ремонт)
158;41.512;Розничная сеть (drogerie, товары повседневного спроса)
159;43.649;Факторинговые компании
160;27.568;Молочная продукция (производство)
161;27.567;Масложировая продукция (продвижение, оптовая торговля)
162;34.424;Органическая химия (производство)
163;41.520;Розничная сеть (спортивные товары)
164;46.469;Атомная энергетика (генерация электроэнергии, АЭС)
165;33.439;Продукция судостроения (продвижение, оптовая торговля)
166;34.417;Агрохимия (продвижение, оптовая торговля)
167;34.416;Агрохимия (производство)
168;27.580;Снеки (производство)
169;11.452;Издательская деятельность
170;41.511;Розничная сеть (книги, игрушки, подарки, часы и прочее)
171;51.674;Утилизация бытовых отходов
172;27.578;Полуфабрикаты, в том числе замороженные (производство)
173;11.458;Распространение мультимедиа и печатной продукции
174;33.431;Двигатели (производство)
175;33.434;Железнодорожное машиностроение, вагоностроение
176;47.611;Добыча нефти
177;47.617;Добыча газа
178;48.679;Клинические исследования
179;49.404;Аренда автомобилей
180;52.653;Музей, галерея, театр
181;52.651;Архив, библиотека, искусствоведение
182;49.415;Центры развлечения
183;27.579;Полуфабрикаты, в том числе замороженные  (продвижение, оптовая торговля)
184;388.503;Оборудование и станки для металлургии и металлообработки (монтаж, сервис, ремонт)
185;388.494;Оборудование для пищевой промышленности, упаковки и хранения (монтаж, сервис, ремонт)
186;51.667;Вентиляция и кондиционирование (монтаж, сервис, ремонт)
187;13.666;Агентские услуги в недвижимости
188;33.430;Продукция авиационной, аэрокосмической, вертолетной промышленности (продвижение, оптовая торговля)
189;34.422;Неорганическая химия (производство)
190;45.535;Добыча и обогащение руд черных, цветных, драгоценных, благородных, редких металлов
191;24.635;Цветная металлургия (выплавка, металлопрокат)
192;45.534;Добыча и обогащение угля
193;44.396;Услуги по организации поездок и бронированию
194;27.558;Кондитерские изделия (производство)
195;51.675;Энергоснабжение
196;43.642;Услуги по ведению бухгалтерского и налогового учета, расчет заработной платы
197;45.537;Инженерно-изыскательские, гидрогеологические, геологоразведочные работы
198;27.574;Пищевые концентраты (производство)
199;34.419;Бетон, кирпич, стекло и прочие силикаты (продвижение, оптовая торговля)
200;34.418;Бетон, кирпич, стекло и прочие силикаты (производство)
201;27.566;Масложировая продукция (производство)
202;27.552;Вино (производство)
203;50.529;Кейтеринг (выездное обслуживание)
204;46.475;Теплоснабжение (ТЭЦ)
205;42.606;Посуда, свет, товары для дома  (продвижение, оптовая торговля)
206;51.672;Ремонт зданий и сооружений
207;13.665;Консалтинг, оценка в недвижимости
208;46.472;Альтернативная энергетика: гео-, ветро-, солнце-, био- (генерация электроэнергии)
